,minimum volatility monthly,maximum sharpe ratio monthly,minimum volatility yearly,maximum sharpe ratio yearly
2013-10-14,0.5703517341156041,0.9567073784389504,0.23781086953353814,0.6287549339714027
2013-10-15,0.5574970932025947,0.9213378483066565,0.22866896491622857,0.5889846423416114
2013-10-16,0.588207515184406,0.9779273984470376,0.25025475609970016,0.6293950724410988
2013-10-17,0.6069241641540566,0.9904625263233191,0.2678997366752618,0.641446443977354
2013-10-18,0.6113253883686105,0.99901448328209,0.26696177514266917,0.6452917261924724
2013-10-21,0.6069948117904702,0.9913460147075657,0.26077746695327697,0.6310915096855145
2013-10-22,0.6214533951683081,1.010552495077134,0.27161922701644836,0.6563418444633471
2013-10-23,0.6170892349891699,0.9761731287631992,0.26848244147109934,0.6343900647048935
2013-10-24,0.6166451166992224,1.01502516290474,0.2677356603813166,0.6786253077239974
2013-10-25,0.6199040328121221,1.007663841688156,0.27499399602126995,0.6945221426658614
2013-10-28,0.6310604353637734,0.9949633711338046,0.27576921195602355,0.6809327357406603
2013-10-29,0.6422253693542519,1.0019660363140108,0.2797812388801568,0.6834690270271286
2013-10-30,0.628335766468052,0.980285587381363,0.2668005753288263,0.679509491893767
2013-10-31,0.6234485346660654,1.0019375254383087,0.2703900084190365,0.6733987244453417
2013-11-01,0.6239357629184763,0.9957135246829989,0.27387143417739823,0.6693191199722275
2013-11-04,0.6255060988063852,1.0444465413990027,0.2782296802940363,0.6770200905342088
2013-11-05,0.6256815250263257,1.0758589146204,0.26807026025009084,0.6511443911857591
2013-11-06,0.6266637605428738,1.0481136329970364,0.26501489628601016,0.6456905111160265
2013-11-07,0.6048842175407452,1.033034152151108,0.245100227523803,0.6038275147323595
2013-11-08,0.6136046270513578,1.0359235327649117,0.2561401182136529,0.627299471881865
2013-11-11,0.6113662360258143,1.0334087056126595,0.2527228058929436,0.6172709297180159
2013-11-12,0.6152834532928508,1.0269536479778294,0.25245444519042914,0.6270835369338974
2013-11-13,0.6194968834581416,1.046447943729878,0.26683167770385685,0.644664508312224
2013-11-14,0.6305991672372857,1.0534744836010934,0.2757695707435601,0.6734158714561451
2013-11-15,0.6328473071565668,1.0659738019986151,0.2822143333587639,0.6843282260818468
2013-11-18,0.6308712689590497,1.0076993772029876,0.2753226243057243,0.6630808130836474
2013-11-19,0.624966011900906,0.970568203435421,0.26778463399505537,0.6442472884597765
2013-11-20,0.6132450191421548,0.9705392994613646,0.2604616085433953,0.6529117411956775
2013-11-21,0.6171236507816353,1.0383587332344053,0.2674965217056269,0.6859208449363698
2013-11-22,0.6205753318834342,1.034044324399471,0.2764149496574395,0.6939825380287159
2013-11-25,0.6217183964519537,1.0244590673484804,0.274918765605926,0.6905794244728076
2013-11-26,0.6221369209308663,1.036442299598694,0.2718251166038508,0.7014126996955858
2013-11-27,0.6237030355758706,1.0119058271255494,0.2745747734413142,0.7051257016944872
2013-11-29,0.6209080310421029,1.006177395646095,0.27196900877761787,0.7088012117195115
2013-12-02,0.6076995601739923,1.0110006101450923,0.2677140934181208,0.6877571850128157
2013-12-03,0.6060002616186182,0.9986357361292841,0.2629557068214412,0.67073292676544
2013-12-04,0.6002128261518518,0.99925460493803,0.2609503824882502,0.6713249479827865
