,datatime,volume
228,2010-11-29,3673450000
229,2010-11-30,4284700000
230,2010-12-01,4548110000
231,2010-12-02,4970800000
232,2010-12-03,3735780000
233,2010-12-06,3527370000
234,2010-12-07,6970630000
235,2010-12-08,4607590000
236,2010-12-09,4522510000
237,2010-12-10,4547310000
238,2010-12-13,4361240000
239,2010-12-14,4132350000
240,2010-12-15,4407340000
241,2010-12-16,4736820000
242,2010-12-17,4632470000
243,2010-12-20,3548140000
244,2010-12-21,3479670000
245,2010-12-22,1285590000
246,2010-12-23,2515020000
247,2010-12-27,1992470000
248,2010-12-28,2478450000
249,2010-12-29,2214380000
250,2010-12-30,1970720000
251,2010-12-31,1799770000
252,2011-01-03,4286670000
253,2011-01-04,4796420000
254,2011-01-05,4764920000
255,2011-01-06,4844100000
256,2011-01-07,4963110000
257,2011-01-10,4036450000
258,2011-01-11,4050750000
259,2011-01-12,4226940000
260,2011-01-13,4310840000
261,2011-01-14,4661590000
262,2011-01-18,5284990000
263,2011-01-19,4743710000
264,2011-01-20,4935320000
265,2011-01-21,4935320000
266,2011-01-24,3902470000
267,2011-01-25,4595380000
268,2011-01-26,4730980000
269,2011-01-27,4309190000
270,2011-01-28,5618630000
271,2011-01-31,4167160000
272,2011-02-01,5164500000
273,2011-02-02,4098260000
274,2011-02-03,4370990000
275,2011-02-04,3925950000
276,2011-02-07,3902270000
277,2011-02-08,3881530000
278,2011-02-09,3922240000
279,2011-02-10,4184610000
280,2011-02-11,4219300000
281,2011-02-14,3567040000
282,2011-02-15,3926860000
283,2011-02-16,1966450000
284,2011-02-17,1966450000
285,2011-02-18,1162310000
286,2011-02-22,1322780000
287,2011-02-23,1330340000
288,2011-02-24,1222900000
289,2011-02-25,3836030000
290,2011-02-28,1252850000
291,2011-03-01,1180420000
292,2011-03-02,1025000000
293,2011-03-03,4340470000
294,2011-03-04,4223740000
295,2011-03-07,3964730000
296,2011-03-08,4531420000
297,2011-03-09,3709520000
298,2011-03-10,4723020000
299,2011-03-11,3740400000
300,2011-03-14,4050370000
301,2011-03-15,5201400000
302,2011-03-16,5833000000
303,2011-03-17,4134950000
304,2011-03-18,4685500000
305,2011-03-21,4223730000
306,2011-03-22,3576550000
307,2011-03-23,3842350000
308,2011-03-24,4223740000
309,2011-03-25,4223740000
310,2011-03-28,3215170000
311,2011-03-29,3482580000
312,2011-03-30,3809570000
313,2011-03-31,3566270000
