,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.03706049919128418,0.00031436188989844875,0.0031976222991943358,6.1015110896515994e-05,1,auto,30,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 30}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
1,0.042206859588623045,0.0007414564606737597,0.0036824703216552734,0.00029810071319256445,1,auto,35,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 35}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
2,0.04795627593994141,0.0005471472205342801,0.004033517837524414,6.12210259925927e-05,1,auto,40,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 40}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
3,0.05454916954040527,0.00022957648722570322,0.004515695571899414,0.00013262918474906695,1,auto,45,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 45}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
4,0.06107707023620605,0.0007612776151136199,0.004919862747192383,5.043138533154074e-05,1,auto,50,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 50}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
5,0.06685738563537598,0.0016157434167395318,0.0052869319915771484,5.339234898938808e-05,1,auto,55,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 55}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
6,0.07232494354248047,0.0011084356251199244,0.005688810348510742,0.00011567922042448311,1,auto,60,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 60}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
7,0.0783905029296875,0.00092243687438011,0.006173563003540039,0.00021936330512358485,1,auto,65,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 65}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
8,0.0833850383758545,0.0009064851640736954,0.006411600112915039,8.239759891109924e-05,1,auto,70,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 70}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
9,0.09069080352783203,0.0018526762775674273,0.0069945335388183595,0.00031065958788640435,1,auto,75,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 75}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
10,0.03763737678527832,0.00013975271443316588,0.0033176422119140627,6.0236518887383545e-05,1,sqrt,30,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 30}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
11,0.04248476028442383,0.000568052225973041,0.003569889068603516,6.544759796802588e-05,1,sqrt,35,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 35}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
12,0.04886350631713867,0.0008172404731296412,0.004050540924072266,5.488091186109968e-05,1,sqrt,40,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 40}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
13,0.054889249801635745,0.0005122002085395768,0.004486703872680664,4.145950333359926e-05,1,sqrt,45,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 45}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
14,0.061971282958984374,0.0010295259510556634,0.004966926574707031,5.2107939078296523e-05,1,sqrt,50,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 50}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
15,0.06656756401062011,0.0009359812953899144,0.005277442932128906,8.5682927205458e-05,1,sqrt,55,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 55}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
16,0.07294683456420899,0.0010660888660037882,0.005650901794433593,7.683984836567677e-05,1,sqrt,60,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 60}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
17,0.0778693675994873,0.0006965060885268571,0.0060177803039550785,0.00011589061907824584,1,sqrt,65,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 65}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,121
