,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.015005874633789062,0.0006727283521814573,0.0019155979156494141,3.112567105700774e-05,0.1,10,"{'learning_rate': 0.1, 'n_estimators': 10}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
1,0.027959251403808595,0.0010845237682994878,0.0033231258392333986,4.0931241707470646e-05,0.1,20,"{'learning_rate': 0.1, 'n_estimators': 20}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
2,0.04089784622192383,0.001497995889425636,0.004836463928222656,0.00015756258298613485,0.1,30,"{'learning_rate': 0.1, 'n_estimators': 30}",0.6746575342465754,0.6815068493150684,0.678082191780822,0.678082191780822,0.6769759450171822,0.677860942428094,0.002210682427459623,10
3,0.05385169982910156,0.0015331371695114623,0.0061431884765625,9.651596358317825e-05,0.1,40,"{'learning_rate': 0.1, 'n_estimators': 40}",0.6883561643835616,0.684931506849315,0.684931506849315,0.6815068493150684,0.6769759450171822,0.6833403944828886,0.003849398127127284,8
4,0.06863279342651367,0.002174124950882536,0.0077209949493408205,7.913678316549511e-05,0.1,50,"{'learning_rate': 0.1, 'n_estimators': 50}",0.7191780821917808,0.684931506849315,0.702054794520548,0.708904109589041,0.6941580756013745,0.7018453137504119,0.011793776638331135,5
5,0.08140497207641602,0.0010260677700622593,0.008995676040649414,0.00010357322385810937,0.1,60,"{'learning_rate': 0.1, 'n_estimators': 60}",0.7191780821917808,0.7054794520547946,0.7191780821917808,0.7123287671232876,0.6907216494845361,0.709377206609236,0.010621189538246326,4
6,0.09619073867797852,0.0022712804524532004,0.010482406616210938,6.020767341385434e-05,0.1,70,"{'learning_rate': 0.1, 'n_estimators': 70}",0.7294520547945206,0.726027397260274,0.7191780821917808,0.7157534246575342,0.697594501718213,0.7176010921244644,0.011114066464378486,2
7,0.10731439590454102,0.0021435420600015727,0.011877775192260742,0.00044859437389412244,0.1,80,"{'learning_rate': 0.1, 'n_estimators': 80}",0.726027397260274,0.7328767123287672,0.7226027397260274,0.7123287671232876,0.697594501718213,0.718286023631314,0.012288849289939745,1
8,0.11895346641540527,0.0003747963723260878,0.013180685043334962,5.2478610182154534e-05,0.1,90,"{'learning_rate': 0.1, 'n_estimators': 90}",0.726027397260274,0.726027397260274,0.726027397260274,0.708904109589041,0.6907216494845361,0.7155415901708798,0.014070835476942194,3
9,0.013739347457885742,0.00013986675114437372,0.0018795013427734375,3.701141094341465e-05,0.05,10,"{'learning_rate': 0.05, 'n_estimators': 10}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,12
