,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.001198148727416992,0.00018044570253029796,0.000542593002319336,5.617647682550294e-05,1,auto,"{'max_depth': 1, 'max_features': 'auto'}",0.6746575342465754,0.660958904109589,0.678082191780822,0.678082191780822,0.6769759450171822,0.6737513533869981,0.006517334360513341,39
1,0.000993204116821289,0.00011259128012106922,0.0005041122436523438,3.3234079019187075e-05,1,sqrt,"{'max_depth': 1, 'max_features': 'sqrt'}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,33
2,0.0007498264312744141,0.0002849544706229327,0.000342559814453125,0.00011737144938441771,1,log2,"{'max_depth': 1, 'max_features': 'log2'}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,33
3,0.0006786346435546875,7.061837573310395e-05,0.000305938720703125,3.32425614983062e-05,1,,"{'max_depth': 1, 'max_features': None}",0.6746575342465754,0.678082191780822,0.678082191780822,0.678082191780822,0.6769759450171822,0.6771760109212448,0.001330130999384225,33
4,0.0007050514221191406,3.5661044035488e-05,0.00031099319458007815,8.084604921881555e-06,6,auto,"{'max_depth': 6, 'max_features': 'auto'}",0.726027397260274,0.6883561643835616,0.6746575342465754,0.6986301369863014,0.6563573883161512,0.6888057242385728,0.023389056913947513,7
5,0.000778961181640625,8.20702273663807e-05,0.00031652450561523435,3.854413704312318e-05,6,sqrt,"{'max_depth': 6, 'max_features': 'sqrt'}",0.6506849315068494,0.7191780821917808,0.6815068493150684,0.7054794520547946,0.6838487972508591,0.6881396224638705,0.02336370864337013,8
6,0.0007953166961669922,3.769590003739792e-05,0.0003146648406982422,2.437911288763564e-05,6,log2,"{'max_depth': 6, 'max_features': 'log2'}",0.7157534246575342,0.7123287671232876,0.684931506849315,0.7226027397260274,0.7079037800687286,0.7087040436849785,0.012820140975827033,1
7,0.0010520458221435548,4.4124471107377975e-05,0.00031905174255371095,7.668632695379114e-06,6,,"{'max_depth': 6, 'max_features': None}",0.7226027397260274,0.7123287671232876,0.7054794520547946,0.7123287671232876,0.6838487972508591,0.7073177046556512,0.012946216270486139,2
8,0.0008927345275878906,1.8090676424223902e-05,0.0003209114074707031,2.0247900488487485e-05,11,auto,"{'max_depth': 11, 'max_features': 'auto'}",0.6746575342465754,0.6746575342465754,0.7054794520547946,0.6883561643835616,0.6838487972508591,0.6853998964364733,0.011358967149576136,9
9,0.0009488105773925781,5.488323191305599e-05,0.00033822059631347654,1.2313667577374083e-05,11,sqrt,"{'max_depth': 11, 'max_features': 'sqrt'}",0.708904109589041,0.6472602739726028,0.708904109589041,0.7123287671232876,0.6666666666666666,0.6888127853881278,0.026748404784671425,5
10,0.001060628890991211,6.788067950464781e-05,0.00038638114929199217,2.2652826604219012e-05,11,log2,"{'max_depth': 11, 'max_features': 'log2'}",0.6986301369863014,0.702054794520548,0.7054794520547946,0.7191780821917808,0.6632302405498282,0.6977145412606506,0.018600110420912155,3
11,0.0014430522918701173,2.9078701254678104e-05,0.0004008293151855469,2.218312879963646e-05,11,,"{'max_depth': 11, 'max_features': None}",0.6952054794520548,0.6815068493150684,0.7054794520547946,0.6952054794520548,0.6666666666666666,0.6888127853881278,0.013441265780397312,5
12,0.001068258285522461,7.377791180942092e-05,0.000386810302734375,3.4661043425724096e-05,16,auto,"{'max_depth': 16, 'max_features': 'auto'}",0.6917808219178082,0.6712328767123288,0.6952054794520548,0.6952054794520548,0.6529209621993127,0.6812691239467118,0.016752816699197308,25
13,0.0010590076446533204,3.8065346170454805e-05,0.00036754608154296873,9.439208041948483e-06,16,sqrt,"{'max_depth': 16, 'max_features': 'sqrt'}",0.6883561643835616,0.6575342465753424,0.7054794520547946,0.6952054794520548,0.6391752577319587,0.6771501200395424,0.02482335652094197,36
14,0.0011540889739990235,9.202865738488811e-05,0.0003823280334472656,2.7178295834459712e-05,16,log2,"{'max_depth': 16, 'max_features': 'log2'}",0.7054794520547946,0.6472602739726028,0.6917808219178082,0.6883561643835616,0.6701030927835051,0.6805959610224545,0.02012897568370683,27
15,0.0014538764953613281,8.121098181449313e-05,0.00041208267211914065,4.1503901867305295e-05,16,,"{'max_depth': 16, 'max_features': None}",0.708904109589041,0.6472602739726028,0.708904109589041,0.6883561643835616,0.6597938144329897,0.6826436943934472,0.02524264083159073,15
16,0.001025819778442383,0.00013886924227633407,0.00033941268920898435,3.400407319942708e-05,21,auto,"{'max_depth': 21, 'max_features': 'auto'}",0.6883561643835616,0.6506849315068494,0.7054794520547946,0.6815068493150684,0.6701030927835051,0.6792260980087558,0.018306424811118986,31
17,0.000941610336303711,4.074980161362746e-05,0.0003185272216796875,1.457827748524458e-05,21,sqrt,"{'max_depth': 21, 'max_features': 'sqrt'}",0.6883561643835616,0.6643835616438356,0.6952054794520548,0.6917808219178082,0.6632302405498282,0.6805912535894176,0.01387926459539257,28
18,0.0009796619415283203,2.824027561156471e-05,0.0003173828125,9.976500021977668e-06,21,log2,"{'max_depth': 21, 'max_features': 'log2'}",0.6815068493150684,0.660958904109589,0.702054794520548,0.702054794520548,0.6666666666666666,0.682648401826484,0.01720679788257242,13
