,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0023642539978027343,0.00017989016587293636,0.017821836471557616,0.0005387229398914841,1,5,"{'leaf_size': 1, 'n_neighbors': 5}",0.6986301369863014,0.6952054794520548,0.6815068493150684,0.678082191780822,0.6666666666666666,0.6840182648401826,0.011672897745355463,3
1,0.002361965179443359,0.00020123829731717258,0.018356943130493165,0.0004986516824607278,1,6,"{'leaf_size': 1, 'n_neighbors': 6}",0.6712328767123288,0.6232876712328768,0.660958904109589,0.6575342465753424,0.6804123711340206,0.6586852139528314,0.019437045163018862,5
2,0.0023400306701660155,0.00013658787112602515,0.018950557708740233,0.00044860652818581897,1,7,"{'leaf_size': 1, 'n_neighbors': 7}",0.7123287671232876,0.7123287671232876,0.684931506849315,0.6883561643835616,0.7044673539518901,0.7004825118862684,0.011708360722021775,1
3,0.002340888977050781,0.00011252292081592568,0.019568490982055663,0.0005535458867585819,1,8,"{'leaf_size': 1, 'n_neighbors': 8}",0.6883561643835616,0.6815068493150684,0.660958904109589,0.684931506849315,0.6872852233676976,0.6806077296050465,0.01010155407577558,4
4,0.002302217483520508,0.00014324408871085417,0.020100975036621095,0.0005311480222578675,1,9,"{'leaf_size': 1, 'n_neighbors': 9}",0.6952054794520548,0.75,0.6712328767123288,0.6815068493150684,0.6872852233676976,0.6970460857694301,0.027606408423371014,2
